PRIORIDAD_TITULACION,DEPARTAMENTO,PROVINCIA,DISTRITO,SUPERFICIE_HA,NRO_PREDIOS_ESTIMADO,FUENTE_BASE
MUY ALTA (Corredor Económico),HUANUCO,AMBO,TOMAY KICHWA,1649.721689,329.9443379,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,CONCHAMARCA,2133.922678,426.7845356,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,HUACAR,484.739909,96.9479818,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,AMBO,SAN FRANCISCO,332.5056293,66.50112587,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,LA UNION,846.5576099,169.311522,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,DOS DE MAYO,SILLAPATA,4.978070697,0.995614139,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PACHITEA,MOLINO,6403.616907,1280.723381,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PACHITEA,UMARI,7121.583993,1424.316799,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,CHAVINILLO,414.432395,82.88647899,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,YAROWILCA,OBAS,919.0294031,183.8058806,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,JESUS,5571.52432,1114.304864,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,BAÑOS,2788.587465,557.7174929,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,JIVIA,152.7343453,30.54686907,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LAURICOCHA,RONDOS,4081.611002,816.3222005,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,MIRAFLORES,2731.230273,546.2460546,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUAMALIES,MONZON,195.4393147,39.08786294,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,MONZON,7814.165016,1562.833003,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,PUNCHAO,21.02961591,4.205923182,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,PUÑOS,13.15513139,2.631026278,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PUERTO INCA,PUERTO INCA,2340.909691,468.1819381,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PUERTO INCA,PUERTO INCA,27499.0976,5499.81952,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PUERTO INCA,CODO DEL POZUZO,7403.479797,1480.695959,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PUERTO INCA,CODO DEL POZUZO,13734.71856,2746.943712,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUAMALIES,TANTAMAYO,64.47880858,12.89576172,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUAMALIES,TANTAMAYO,1065.281083,213.0562166,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,1142.721083,228.5442166,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,8960.745499,1792.1491,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUACAYBAMBA,HUACAYBAMBA,33.38896834,6.677793667,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUACAYBAMBA,HUACAYBAMBA,4610.034422,922.0068844,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUACAYBAMBA,CANCHABAMBA,24.35122328,4.870244655,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUACAYBAMBA,CANCHABAMBA,1486.931916,297.3863832,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUACAYBAMBA,COCHABAMBA,750.9970467,150.1994093,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUACAYBAMBA,COCHABAMBA,1410.171871,282.0343742,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUACAYBAMBA,PINRA,81.17315843,16.23463169,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUACAYBAMBA,PINRA,4666.275634,933.2551267,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,8.249887522,1.649977504,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,7975.432163,1595.086433,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,MARAÑON,CHOLON,876.8790543,175.3758109,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,MARAÑON,CHOLON,4488.452689,897.6905378,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PUERTO INCA,HONORIA,511.235164,102.2470328,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PUERTO INCA,HONORIA,11084.05357,2216.810713,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PUERTO INCA,TOURNAVISTA,11679.08924,2335.817848,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PUERTO INCA,TOURNAVISTA,25317.32316,5063.464633,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,PUERTO INCA,YUYAPICHIS,14028.45998,2805.691995,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,PUERTO INCA,YUYAPICHIS,27131.62883,5426.325766,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,HUANUCO,SAN PABLO DE PILLAO,2310.997944,462.1995888,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,HUANUCO,SAN PABLO DE PILLAO,11681.83268,2336.366535,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,PUCAYACU,2225.45061,445.0901219,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,MARAÑON,LA MORADA,28.11759791,5.623519582,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,MARAÑON,LA MORADA,3551.502527,710.3005054,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,1221.176493,244.2352986,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,1646.391576,329.2783152,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,3055.563066,611.1126133,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,3073.002864,614.6005728,MNSA / SICAR
ALTA (Zona de Expansión),HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,1.67053102,0.334106204,MNSA / SICAR
MUY ALTA (Corredor Económico),HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,1543.242649,308.6485298,MNSA / SICAR
